name,score_OX1R,score_OX2R,avg_docking_score,selectivity_OX1_vs_OX2,drug_class,molecular_weight,xlogp,tpsa,composite_score,BBB_Martins,hERG
similar_to_56944144_56944043,-8.796,-7.78,-8.288,-1.0159999999999991,DORA_analog,424.4,3.5,77.0,0.7683118554999999,0.92684877,0.7588431
Lemborexant,-9.113,-6.446,-7.7795,-2.667,DORA,410.4,3.2,77.0,0.7705130315,0.921039,0.73031473
similar_to_56944144_56944429,-8.741,-6.781,-7.760999999999999,-1.96,DORA_analog,428.4,3.3,77.0,0.7710628165,0.90176934,0.69781184
similar_to_56944144_67473934,-8.766,-5.712,-7.239,-3.0540000000000003,DORA_analog,374.4,3.0,77.0,0.780718695,0.9135849,0.6514036
similar_to_56944144_56944245,-8.921,-5.492,-7.2065,-3.4289999999999994,DORA_analog,410.4,3.2,77.0,0.7688000749999999,0.88985884,0.6910223
similar_to_56944144_67473935,-8.349,-5.573,-6.961,-2.776,DORA_analog,374.4,2.6,77.0,0.765761826,0.8646248,0.73580396
similar_to_56944144_67282493,-7.203,-6.457,-6.83,-0.7460000000000004,DORA_analog,440.4,3.5,86.2,0.75571946,0.92469656,0.8023841
similar_to_154617563_137460857,-8.056,-5.485,-6.7705,-2.570999999999999,agonist_analog,434.5,3.4,74.9,0.764529716,0.91666985,0.74321437
similar_to_56944144_67473922,-8.872,-4.583,-6.7275,-4.289,DORA_analog,388.5,3.3,77.0,0.771801259,0.910113,0.7297834
similar_to_56944144_56944143,-7.394,-5.753,-6.5735,-1.641,DORA_analog,440.4,3.1,86.2,0.7617128625,0.90400755,0.7580627
similar_to_56944144_56944522,-8.555,-4.414,-6.4845,-4.141,DORA_analog,422.5,2.4,86.2,0.7784083715000001,0.87069476,0.63635385
similar_to_56944144_56944045,-8.507,-4.417,-6.462,-4.09,DORA_analog,408.9,3.6,77.0,0.7697881705,0.92342806,0.76505435
similar_to_56944144_56944044,-9.057,-3.635,-6.346,-5.422000000000001,DORA_analog,392.4,3.1,77.0,0.7775644744999999,0.9170904,0.68129647
similar_to_56944144_67281908,-7.498,-5.022,-6.26,-2.476,DORA_analog,422.5,3.0,86.2,0.767245623,0.90189755,0.71977043
similar_to_56944144_67283149,-7.756,-4.688,-6.2219999999999995,-3.0680000000000005,DORA_analog,406.5,3.4,77.0,0.775976057,0.9262751,0.7111413
similar_to_56944144_56944620,-7.608,-4.775,-6.1915,-2.8329999999999993,DORA_analog,440.4,2.5,86.2,0.7723820459999999,0.8785284,0.6865264
similar_to_56944144_67282848,-8.191,-3.682,-5.9365000000000006,-4.509,DORA_analog,428.4,3.3,77.0,0.7658157125,0.90089494,0.7288011
similar_to_24965990_137652411,-3.742,-1.919,-2.8305,-1.823,DORA_analog,414.5,3.8,80.3,0.7675564525,0.8907933,0.913335
similar_to_24965990_137638805,-3.06,0.2711,-1.39445,-3.3311,DORA_analog,432.4,3.9,80.3,0.763968771,0.88275194,0.91785467
similar_to_24965990_137634720,4.395,3.514,3.9544999999999995,0.8809999999999998,DORA_analog,434.9,4.0,80.3,0.7696767695,0.8586914,0.88384485
