name,drug_class,cid,molecular_formula,molecular_weight,iupac_name,canonical_smiles,isomeric_smiles,xlogp,h_bond_donors,h_bond_acceptors,rotatable_bonds,tpsa,exact_mass,charge
Daridorexant,DORA,91801202,C23H23ClN6O2,450.9,[(2S)-2-(5-chloro-4-methyl-1H-benzimidazol-2-yl)-2-methylpyrrolidin-1-yl]-[5-methoxy-2-(triazol-2-yl)phenyl]methanone,,,4.1,1,5,4,88.9,450.1571017,0
Lemborexant,DORA,56944144,C22H20F2N4O2,410.4,"cis-(1R,2S)-2-[(2,4-dimethylpyrimidin-5-yl)oxymethyl]-2-(3-fluorophenyl)-N-(5-fluoro-2-pyridinyl)cyclopropane-1-carboxamide",,,3.2,1,7,6,77.0,410.15543222,0
Suvorexant,DORA,24965990,C23H23ClN6O2,450.9,"[(7R)-4-(5-chloro-1,3-benzoxazol-2-yl)-7-methyl-1,4-diazepan-1-yl]-[5-methyl-2-(triazol-2-yl)phenyl]methanone",,,4.9,0,6,3,80.3,450.1571017,0
Oveporexton,agonist,154617563,C23H25F5N2O4S,520.5,"N-[(2S,3R)-2-[[3-(3,5-difluorophenyl)-2-fluorophenyl]methyl]-4,4-difluoro-1-(2-hydroxy-2-methylpropanoyl)pyrrolidin-3-yl]ethanesulfonamide",,,3.6,2,10,7,95.1,520.14551927,0
similar_to_91801202_91809208,DORA_analog,91809208,C23H24Cl2N6O2,487.4,[(2S)-2-(5-chloro-4-methyl-1H-benzimidazol-2-yl)-2-methylpyrrolidin-1-yl]-[5-methoxy-2-(triazol-2-yl)phenyl]methanone;hydrochloride,,,,2,5,4,88.9,486.1337794,0
similar_to_91801202_72694582,DORA_analog,72694582,C23H20ClFN6O2,466.9,[(2S)-2-(5-chloro-4-methyl-1H-benzimidazol-2-yl)-4-methylidenepyrrolidin-1-yl]-[2-fluoro-3-methoxy-6-(triazol-2-yl)phenyl]methanone,,,3.9,1,6,4,88.9,466.1320298,0
similar_to_91801202_72694992,DORA_analog,72694992,C23H19ClF4N6O2,522.9,[(2S)-2-[5-chloro-6-(trifluoromethyl)-1H-benzimidazol-2-yl]-2-methylpyrrolidin-1-yl]-[2-fluoro-3-methoxy-6-(triazol-2-yl)phenyl]methanone,,,4.8,1,9,4,88.9,522.1194142,0
similar_to_91801202_118126995,DORA_analog,118126995,C23H21FN6O2,432.4,[2-fluoro-3-methyl-6-(triazol-2-yl)phenyl]-[(2S)-2-(6-methoxy-1H-benzimidazol-2-yl)-4-methylidenepyrrolidin-1-yl]methanone,,,3.2,1,6,4,88.9,432.17100210,0
similar_to_91801202_118127015,DORA_analog,118127015,C28H27ClFN3O3,508.0,[(2S)-2-(5-chloro-4-methyl-1H-benzimidazol-2-yl)-2-methylpyrrolidin-1-yl]-[2-fluoro-3-methoxy-6-(3-methoxyphenyl)phenyl]methanone,,,5.9,1,5,5,67.5,507.1724976,0
similar_to_91801202_118127019,DORA_analog,118127019,C23H22ClFN6O3,484.9,"[(2S,4R)-2-(5-chloro-4-methyl-1H-benzimidazol-2-yl)-4-methoxypyrrolidin-1-yl]-[2-fluoro-3-methoxy-6-(triazol-2-yl)phenyl]methanone",,,3.6,1,7,5,98.2,484.1425944,0
similar_to_91801202_118127025,DORA_analog,118127025,C24H25FN6O4,480.5,"[(2S,3S)-2-(5,6-dimethoxy-1H-benzimidazol-2-yl)-3-methylpyrrolidin-1-yl]-[2-fluoro-3-methoxy-6-(triazol-2-yl)phenyl]methanone",,,3.4,1,8,6,107.0,480.19213146,0
similar_to_91801202_118127048,DORA_analog,118127048,C24H22ClF3N6O3,534.9,[(4R)-2-(5-chloro-4-methyl-1H-benzimidazol-2-yl)-4-methoxy-2-methylpyrrolidin-1-yl]-[2-(triazol-2-yl)-5-(trifluoromethoxy)phenyl]methanone,,,4.9,1,9,5,98.2,534.1394008,0
similar_to_91801202_118127060,DORA_analog,118127060,C24H25FN6O4,480.5,"[(2S)-2-(5,6-dimethoxy-1H-benzimidazol-2-yl)-2-methylpyrrolidin-1-yl]-[2-fluoro-3-methoxy-6-(triazol-2-yl)phenyl]methanone",,,3.2,1,8,6,107.0,480.19213146,0
