name,drug_class,cid,molecular_formula,molecular_weight,iupac_name,canonical_smiles,isomeric_smiles,xlogp,h_bond_donors,h_bond_acceptors,rotatable_bonds,tpsa,exact_mass,charge,viol_mw,viol_logp,viol_hbd,viol_hba,viol_tpsa,viol_rotbonds,ro5_violations,passes_ro5,AMES,BBB_Martins,Bioavailability_Ma,CYP2D6_Veith,CYP3A4_Veith,hERG,HIA_Hou,Caco2_Wang,Solubility_AqSolDB,DILI,Pgp_Broccatelli,BBB_Martins_drugbank_approved_percentile,hERG_drugbank_approved_percentile,mw_score,logp_score,tpsa_score,druglikeness_score,clean_smiles,score_mw,score_logp,score_tpsa,score_hbd,score_rotbonds,score_bbb,score_herg,score_ames,composite_score,rank,shortlisted
similar_to_56944144_67473934,DORA_analog,67473934,C22H22N4O2,374.4,"cis-(1R,2S)-2-[(2,4-dimethylpyrimidin-5-yl)oxymethyl]-2-phenyl-N-pyridin-2-ylcyclopropane-1-carboxamide",CC1=NC(=NC=C1OCC2(CC2C(=O)NC3=CC=CC=N3)C4=CC=CC=C4)C,CC1=NC(=NC=C1OC[C@]2(C[C@H]2C(=O)NC3=CC=CC=N3)C4=CC=CC=C4)C,3.0,1,5,6,77.0,374.17427596,0,False,False,False,False,False,False,0,True,0.3993398,0.9135849,0.9648293,0.024552446,0.63678974,0.6514036,0.99998176,-4.915113,-4.390625,0.8354847,0.16571705,70.93145869947277,70.08787346221442,1.0,1.0,0.7,2.7,Cc1ncc(OC[C@@]2(c3ccccc3)C[C@H]2C(=O)Nc2ccccn2)c(C)n1,1.0,1.0,0.7,0.8,0.7,0.9135849,0.34859640000000003,0.6006602,0.780718695,1,True
similar_to_56944144_56944522,DORA_analog,56944522,C23H23FN4O3,422.5,"cis-(1R,2S)-N-(5-fluoro-2-pyridinyl)-2-[[4-(methoxymethyl)-2-methylpyrimidin-5-yl]oxymethyl]-2-phenylcyclopropane-1-carboxamide",CC1=NC=C(C(=N1)COC)OCC2(CC2C(=O)NC3=NC=C(C=C3)F)C4=CC=CC=C4,CC1=NC=C(C(=N1)COC)OC[C@]2(C[C@H]2C(=O)NC3=NC=C(C=C3)F)C4=CC=CC=C4,2.4,1,7,8,86.2,422.17541877,0,False,False,False,False,False,False,0,True,0.27624482,0.87069476,0.96111375,0.012732247,0.7659947,0.63635385,0.99997646,-4.8956504,-4.5477805,0.9100188,0.23138316,64.49912126537787,69.3145869947276,1.0,1.0,0.7,2.7,COCc1nc(C)ncc1OC[C@@]1(c2ccccc2)C[C@H]1C(=O)Nc1ccc(F)cn1,1.0,1.0,0.7,0.8,0.7,0.87069476,0.36364615,0.7237551799999999,0.7784083715000001,2,True
similar_to_56944144_56944044,DORA_analog,56944044,C22H21FN4O2,392.4,"cis-(1R,2S)-2-[(2,4-dimethylpyrimidin-5-yl)oxymethyl]-N-(5-fluoro-2-pyridinyl)-2-phenylcyclopropane-1-carboxamide",CC1=NC(=NC=C1OCC2(CC2C(=O)NC3=NC=C(C=C3)F)C4=CC=CC=C4)C,CC1=NC(=NC=C1OC[C@]2(C[C@H]2C(=O)NC3=NC=C(C=C3)F)C4=CC=CC=C4)C,3.1,1,6,6,77.0,392.16485409,0,False,False,False,False,False,False,0,True,0.3902731,0.9170904,0.9685048,0.023142967,0.70689857,0.68129647,0.9999868,-4.861341,-4.7928123,0.8709692,0.18902239,71.45869947275924,71.14235500878735,1.0,1.0,0.7,2.7,Cc1ncc(OC[C@@]2(c3ccccc3)C[C@H]2C(=O)Nc2ccc(F)cn2)c(C)n1,1.0,1.0,0.7,0.8,0.7,0.9170904,0.31870352999999996,0.6097269000000001,0.7775644744999999,3,True
similar_to_56944144_67283149,DORA_analog,67283149,C23H23FN4O2,406.5,"cis-(1R,2S)-2-[(2,4-dimethylpyrimidin-5-yl)oxymethyl]-N-(5-fluoro-4-methyl-2-pyridinyl)-2-phenylcyclopropane-1-carboxamide",CC1=CC(=NC=C1F)NC(=O)C2CC2(COC3=CN=C(N=C3C)C)C4=CC=CC=C4,CC1=CC(=NC=C1F)NC(=O)[C@@H]2C[C@@]2(COC3=CN=C(N=C3C)C)C4=CC=CC=C4,3.4,1,6,6,77.0,406.18050415,0,False,False,False,False,False,False,0,True,0.37843046,0.9262751,0.9711205,0.020247383,0.72456735,0.7111413,0.9999933,-4.873868,-5.3212767,0.8845266,0.26273644,73.00527240773287,72.72407732864676,1.0,1.0,0.7,2.7,Cc1ncc(OC[C@@]2(c3ccccc3)C[C@H]2C(=O)Nc2cc(C)c(F)cn2)c(C)n1,1.0,1.0,0.7,0.8,0.7,0.9262751,0.2888587,0.62156954,0.775976057,4,True
similar_to_56944144_56944620,DORA_analog,56944620,C23H22F2N4O3,440.4,"cis-(1R,2S)-2-(3-fluorophenyl)-N-(5-fluoro-2-pyridinyl)-2-[[4-(methoxymethyl)-2-methylpyrimidin-5-yl]oxymethyl]cyclopropane-1-carboxamide",CC1=NC=C(C(=N1)COC)OCC2(CC2C(=O)NC3=NC=C(C=C3)F)C4=CC(=CC=C4)F,CC1=NC=C(C(=N1)COC)OC[C@]2(C[C@H]2C(=O)NC3=NC=C(C=C3)F)C4=CC(=CC=C4)F,2.5,1,8,8,86.2,440.1659969,0,False,False,False,False,False,False,0,True,0.28542188,0.8785284,0.96105224,0.01569818,0.8556879,0.6865264,0.99998456,-4.8056393,-4.693141,0.9098511,0.2638902,65.69420035149385,71.42355008787347,1.0,1.0,0.7,2.7,COCc1nc(C)ncc1OC[C@@]1(c2cccc(F)c2)C[C@H]1C(=O)Nc1ccc(F)cn1,1.0,1.0,0.7,0.8,0.7,0.8785284,0.3134736,0.71457812,0.7723820459999999,5,True
similar_to_56944144_67473922,DORA_analog,67473922,C23H24N4O2,388.5,"cis-(1R,2S)-2-[(2,4-dimethylpyrimidin-5-yl)oxymethyl]-N-(4-methyl-2-pyridinyl)-2-phenylcyclopropane-1-carboxamide",CC1=CC(=NC=C1)NC(=O)C2CC2(COC3=CN=C(N=C3C)C)C4=CC=CC=C4,CC1=CC(=NC=C1)NC(=O)[C@@H]2C[C@@]2(COC3=CN=C(N=C3C)C)C4=CC=CC=C4,3.3,1,5,6,77.0,388.18992602,0,False,False,False,False,False,False,0,True,0.32518962,0.910113,0.96689796,0.03303322,0.78901565,0.7297834,0.9999932,-4.93772,-4.8501415,0.85206205,0.24723692,70.43936731107206,73.95430579964851,1.0,1.0,0.7,2.7,Cc1ccnc(NC(=O)[C@@H]2C[C@@]2(COc2cnc(C)nc2C)c2ccccc2)c1,1.0,1.0,0.7,0.8,0.7,0.910113,0.27021660000000003,0.67481038,0.771801259,6,True
similar_to_56944144_56944429,DORA_analog,56944429,C22H19F3N4O2,428.4,"cis-(1R,2S)-2-(3,5-difluorophenyl)-2-[(2,4-dimethylpyrimidin-5-yl)oxymethyl]-N-(5-fluoro-2-pyridinyl)cyclopropane-1-carboxamide",CC1=NC(=NC=C1OCC2(CC2C(=O)NC3=NC=C(C=C3)F)C4=CC(=CC(=C4)F)F)C,CC1=NC(=NC=C1OC[C@]2(C[C@H]2C(=O)NC3=NC=C(C=C3)F)C4=CC(=CC(=C4)F)F)C,3.3,1,8,6,77.0,428.14601035,0,False,False,False,False,False,False,0,True,0.39415485,0.90176934,0.9693867,0.019328035,0.78631055,0.69781184,0.99998474,-4.671785,-5.1095147,0.87576693,0.19988881,68.92794376098419,71.84534270650265,1.0,1.0,0.7,2.7,Cc1ncc(OC[C@@]2(c3cc(F)cc(F)c3)C[C@H]2C(=O)Nc2ccc(F)cn2)c(C)n1,1.0,1.0,0.7,0.8,0.7,0.90176934,0.30218816000000004,0.6058451499999999,0.7710628165,7,True
Lemborexant,DORA,56944144,C22H20F2N4O2,410.4,"cis-(1R,2S)-2-[(2,4-dimethylpyrimidin-5-yl)oxymethyl]-2-(3-fluorophenyl)-N-(5-fluoro-2-pyridinyl)cyclopropane-1-carboxamide",CC1=NC(=NC=C1OCC2(CC2C(=O)NC3=NC=C(C=C3)F)C4=CC(=CC=C4)F)C,CC1=NC(=NC=C1OC[C@]2(C[C@H]2C(=O)NC3=NC=C(C=C3)F)C4=CC(=CC=C4)F)C,3.2,1,7,6,77.0,410.15543222,0,False,False,False,False,False,False,0,True,0.40399018,0.921039,0.9688822,0.029481169,0.8194505,0.73031473,0.9999922,-4.77964,-4.9354057,0.8734808,0.21667337,72.23198594024605,73.95430579964851,1.0,1.0,0.7,2.7,Cc1ncc(OC[C@@]2(c3cccc(F)c3)C[C@H]2C(=O)Nc2ccc(F)cn2)c(C)n1,1.0,1.0,0.7,0.8,0.7,0.921039,0.26968527,0.59600982,0.7705130315,8,True
similar_to_56944144_56944045,DORA_analog,56944045,C22H21ClN4O2,408.9,"cis-(1R,2S)-N-(5-chloro-2-pyridinyl)-2-[(2,4-dimethylpyrimidin-5-yl)oxymethyl]-2-phenylcyclopropane-1-carboxamide",CC1=NC(=NC=C1OCC2(CC2C(=O)NC3=NC=C(C=C3)Cl)C4=CC=CC=C4)C,CC1=NC(=NC=C1OC[C@]2(C[C@H]2C(=O)NC3=NC=C(C=C3)Cl)C4=CC=CC=C4)C,3.6,1,5,6,77.0,408.1353036,0,False,False,False,False,False,False,0,True,0.32621384,0.92342806,0.96264523,0.054615606,0.82910395,0.76505435,0.9999868,-4.9859633,-5.1146746,0.8794836,0.28750414,72.58347978910369,76.27416520210897,1.0,1.0,0.7,2.7,Cc1ncc(OC[C@@]2(c3ccccc3)C[C@H]2C(=O)Nc2ccc(Cl)cn2)c(C)n1,1.0,1.0,0.7,0.8,0.7,0.92342806,0.23494565,0.67378616,0.7697881705,9,True
similar_to_24965990_137634720,DORA_analog,137634720,C22H19ClN6O2,434.9,"[(3aR,6aS)-2-(5-chloro-1,3-benzoxazol-2-yl)-1,3,3a,4,6,6a-hexahydropyrrolo[3,4-c]pyrrol-5-yl]-[2-(triazol-2-yl)phenyl]methanone",C1C2CN(CC2CN1C3=NC4=C(O3)C=CC(=C4)Cl)C(=O)C5=CC=CC=C5N6N=CC=N6,C1[C@@H]2CN(C[C@@H]2CN1C3=NC4=C(O3)C=CC(=C4)Cl)C(=O)C5=CC=CC=C5N6N=CC=N6,4.0,0,6,3,80.3,434.1258016,0,False,False,False,False,False,False,0,True,0.34838706,0.8586914,0.7863222,0.24391694,0.97393024,0.88384485,0.99998844,-4.854725,-5.671641,0.9358908,0.83749914,62.95254833040423,85.30755711775045,1.0,1.0,0.7,2.7,O=C(c1ccccc1-n1nccn1)N1C[C@@H]2CN(c3nc4cc(Cl)ccc4o3)C[C@@H]2C1,1.0,1.0,0.7,1.0,1.0,0.8586914,0.11615514999999998,0.6516129399999999,0.7696767695,10,True
